,LATITUD,LONGITUD
10,-100.2784164,-100.2784164
11,-100.2844369,-100.2844369
12,-100.2844372,-100.2844372
13,-100.2844364,-100.2844364
14,-100.2844364,-100.2844364
15,-100.2844364,-100.2844364
16,-102.3176033,-102.3176033
17,-102.3176033,-102.3176033
18,-102.3176033,-102.3176033
19,-102.3176033,-102.3176033
20,-102.3176033,-102.3176033
21,-102.3176033,-102.3176033
22,-102.3176033,-102.3176033
23,-102.3176033,-102.3176033
24,-102.3176033,-102.3176033
25,-102.3176033,-102.3176033
26,-102.3176033,-102.3176033
27,-102.3176033,-102.3176033
28,-102.3176033,-102.3176033
29,-102.3176033,-102.3176033
30,-102.3175446,-102.3175446
31,-102.3175373,-102.3175373
32,-102.31754,-102.31754
33,-102.3175414,-102.3175414
34,-102.3175414,-102.3175414
35,-102.3175414,-102.3175414
36,-102.3175414,-102.3175414
37,-102.3175414,-102.3175414
38,-102.3175414,-102.3175414
39,-102.317542,-102.317542
40,-102.317542,-102.317542
41,-102.3175426,-102.3175426
42,-102.3175426,-102.3175426
43,-102.3175426,-102.3175426
44,-102.3175426,-102.3175426
45,-102.3175426,-102.3175426
46,-102.3175426,-102.3175426
47,-102.3175426,-102.3175426
48,-102.3175518,-102.3175518
49,-102.3175518,-102.3175518
50,-102.3175518,-102.3175518
51,-102.3175518,-102.3175518
52,-102.3175448,-102.3175448
53,-102.3175448,-102.3175448
54,-102.3175448,-102.3175448
55,-102.3175448,-102.3175448
56,-102.3175448,-102.3175448
57,-102.3175448,-102.3175448
58,-102.3175448,-102.3175448
59,-102.3175448,-102.3175448
60,-102.3175448,-102.3175448
61,-102.3175448,-102.3175448
62,-102.3175448,-102.3175448
63,-102.3175448,-102.3175448
64,-102.3175448,-102.3175448
65,-102.3175448,-102.3175448
66,-102.3175448,-102.3175448
67,-102.3175448,-102.3175448
68,-102.3175448,-102.3175448
69,-102.3175448,-102.3175448
70,-102.3175448,-102.3175448
71,-102.3175448,-102.3175448
72,-102.3175448,-102.3175448
73,-102.3175448,-102.3175448
74,-102.3175448,-102.3175448
75,-102.3175448,-102.3175448
76,-102.3175448,-102.3175448
77,-102.3175448,-102.3175448
78,-102.3175448,-102.3175448
83,-102.3175448,-102.3175448
84,-102.3175448,-102.3175448
85,-102.3175448,-102.3175448
86,-102.3175448,-102.3175448
87,-102.3175448,-102.3175448
88,-102.3175448,-102.3175448
89,-102.3175448,-102.3175448
90,-102.3175448,-102.3175448
91,-102.3175448,-102.3175448
92,-102.3175448,-102.3175448
93,-102.3444962,-102.3444962
94,-102.3444962,-102.3444962
95,-102.3444962,-102.3444962
96,-102.3444962,-102.3444962
97,-102.3444962,-102.3444962
98,-102.3175448,-102.3175448
99,-102.3444962,-102.3444962
100,-102.3175448,-102.3175448
101,-102.3175448,-102.3175448
102,-102.3175448,-102.3175448
103,-102.3175448,-102.3175448
104,-102.3175448,-102.3175448
105,-102.3175448,-102.3175448
106,-102.3175448,-102.3175448
107,-102.3175443,-102.3175443
108,-102.3175443,-102.3175443
109,-102.3175443,-102.3175443
110,-102.3175464,-102.3175464
111,-102.3175464,-102.3175464
112,-102.3175464,-102.3175464
113,-102.3175464,-102.3175464
114,-102.3175464,-102.3175464
115,-102.3175464,-102.3175464
116,-102.3175464,-102.3175464
117,-102.3175464,-102.3175464
118,-102.3175464,-102.3175464
119,-102.3175464,-102.3175464
120,-102.3175464,-102.3175464
123,-100.685314,-100.685314
124,-100.685314,-100.685314
125,-100.685314,-100.685314
126,-100.685314,-100.685314
127,-100.685314,-100.685314
128,-100.685314,-100.685314
129,-100.685314,-100.685314
130,-100.685314,-100.685314
131,-100.685314,-100.685314
132,-100.685314,-100.685314
133,-100.685314,-100.685314
134,-100.685314,-100.685314
135,-100.685314,-100.685314
136,-100.4398396,-100.4398396
137,-100.4398396,-100.4398396
138,-100.4398396,-100.4398396
139,-100.4398396,-100.4398396
140,-100.4398396,-100.4398396
141,-100.4398396,-100.4398396
142,-100.685314,-100.685314
143,-100.685314,-100.685314
144,-100.4398396,-100.4398396
145,-100.685314,-100.685314
146,-100.685314,-100.685314
147,-100.685314,-100.685314
148,-100.685314,-100.685314
149,-100.685314,-100.685314
150,-100.685314,-100.685314
151,-100.4396335,-100.4396335
152,-100.4396838,-100.4396838
153,-100.4396391,-100.4396391
154,-100.4396391,-100.4396391
155,-100.4396391,-100.4396391
156,-100.4396391,-100.4396391
157,-100.4396391,-100.4396391
158,-100.4396391,-100.4396391
159,-100.4396391,-100.4396391
160,-102.3445077,-102.3445077
161,-102.3445077,-102.3445077
162,-102.3445077,-102.3445077
163,-102.3445077,-102.3445077
164,-102.3445077,-102.3445077
165,-102.3445077,-102.3445077
166,-102.3445077,-102.3445077
167,-102.3445077,-102.3445077
168,-100.4397292,-100.4397292
169,-100.4397292,-100.4397292
170,-100.4397292,-100.4397292
171,-100.4397292,-100.4397292
172,-100.4397292,-100.4397292
173,-100.4397292,-100.4397292
174,-102.3445343,-102.3445343
175,-100.4397394,-100.4397394
176,-102.3445028,-102.3445028
177,-100.4397394,-100.4397394
178,-102.3445028,-102.3445028
179,-100.4397394,-100.4397394
180,-100.4397394,-100.4397394
181,-102.3445028,-102.3445028
182,-100.4397394,-100.4397394
